2025 Federal Election House of Representatives Two Candidate Preferred By Candidate By Polling Place [Event:31496 Phase:FinalResults Generated:2025-06-16T10:38:57 Cycle:194a421d-c559-4a18-a78a-90c7cf2acb4e Created:2025-06-16T10:36:42 Environment:PROD Site:CANBERRA Server:Internal Version:10.11.386.0]
StateAb,DivisionID,DivisionNm,PollingPlaceID,PollingPlace,CandidateID,Surname,GivenNm,BallotPosition,Elected,HistoricElected,PartyAb,PartyNm,OrdinaryVotes,Swing
ACT,101,Canberra,8764,Curtin (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1253,4.12
ACT,101,Canberra,8766,Deakin,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,168,-13.76
ACT,101,Canberra,8766,Deakin,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,561,13.76
ACT,101,Canberra,8809,Dickson,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,173,-6.34
ACT,101,Canberra,8809,Dickson,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,242,6.34
ACT,101,Canberra,83852,Dickson East,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,270,-6.28
ACT,101,Canberra,83852,Dickson East,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,480,6.28
ACT,101,Canberra,82525,Downer,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,547,-2.71
ACT,101,Canberra,82525,Downer,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,682,2.71
ACT,101,Canberra,65504,EAV Canberra PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,5,2.08
ACT,101,Canberra,65504,EAV Canberra PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,11,-2.08
ACT,101,Canberra,8794,Garran (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,269,-5.77
ACT,101,Canberra,8794,Garran (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,675,5.77
ACT,101,Canberra,8816,Giralang (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,358,-3.93
ACT,101,Canberra,8816,Giralang (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,855,3.93
ACT,101,Canberra,8817,Griffith,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,276,-6.06
ACT,101,Canberra,8817,Griffith,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,752,6.06
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,471,-10.11
ACT,101,Canberra,65981,Gungahlin CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1221,10.11
ACT,101,Canberra,8774,Hughes (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,152,-10.87
ACT,101,Canberra,8774,Hughes (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,540,10.87
ACT,101,Canberra,8823,Kaleen,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,393,-5.77
ACT,101,Canberra,8823,Kaleen,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1062,5.77
ACT,101,Canberra,8824,Kaleen South,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,453,0.2
ACT,101,Canberra,8824,Kaleen South,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,911,-0.2
ACT,101,Canberra,8826,Lyneham,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,811,-9.87
ACT,101,Canberra,8826,Lyneham,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1331,9.87
ACT,101,Canberra,83856,Lyneham East,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,263,-8.72
ACT,101,Canberra,83856,Lyneham East,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,423,8.72
ACT,101,Canberra,8779,Lyons (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,198,-7.96
ACT,101,Canberra,8779,Lyons (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,539,7.96
ACT,101,Canberra,8828,Macquarie (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,321,-8.66
ACT,101,Canberra,8828,Macquarie (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,731,8.66
ACT,101,Canberra,8782,Narrabundah,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,295,-5.67
ACT,101,Canberra,8782,Narrabundah,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,739,5.67
ACT,101,Canberra,98055,Narrabundah South,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,231,-0.5
ACT,101,Canberra,98055,Narrabundah South,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,493,0.5
ACT,101,Canberra,8783,Oaks Estate,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,51,2.44
ACT,101,Canberra,8783,Oaks Estate,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,76,-2.44
ACT,101,Canberra,93976,Page (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,105,-3.23
ACT,101,Canberra,93976,Page (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,251,3.23
ACT,101,Canberra,65741,Parkes (Canberra),41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,1038,-1.21
ACT,101,Canberra,65741,Parkes (Canberra),40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1732,1.21
ACT,101,Canberra,65742,Parkes CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,2186,-9.65
ACT,101,Canberra,65742,Parkes CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,6376,9.65
ACT,101,Canberra,98054,Queanbeyan CANBERRA PPVC,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,139,-3.93
ACT,101,Canberra,98054,Queanbeyan CANBERRA PPVC,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,315,3.93
ACT,101,Canberra,8785,Red Hill,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,492,-11.77
ACT,101,Canberra,8785,Red Hill,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,1435,11.77
ACT,101,Canberra,108470,Special Hospital Team 1,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,88,-5.15
ACT,101,Canberra,108470,Special Hospital Team 1,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,196,5.15
ACT,101,Canberra,109171,Special Hospital Team 2,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,55,-0.06
ACT,101,Canberra,109171,Special Hospital Team 2,40677,PAYNE,Alicia,5,Y,Y,ALP,Australian Labor Party,97,0.06
ACT,101,Canberra,109831,Special Hospital Team 3,41390,MUDFORD,Isabel,1,N,N,GRN,Australian Greens,29,-6.57
